,M1,M2,M3,M4,M5
LOC_Os01g25820,79,104,59,109,85
LOC_Os01g25839,0,0,0,0,0
LOC_Os01g25860,0,0,0,0,0
LOC_Os01g25880,370,192,50,212,300
LOC_Os01g25890,0,0,0,0,0
LOC_Os01g25900,0,0,0,0,0
LOC_Os01g25910,0,0,0,0,0
LOC_Os01g25920,1760.054,1338.433,905,1387.77,2106.746
LOC_Os01g25930,0,0,0,0,0
LOC_Os01g25940,0,0,0,0,0
LOC_Os01g25950,0,0,0,0,0
LOC_Os01g25960,0,0,0,0,0
LOC_Os01g25970,0,0,0,0,0
LOC_Os01g25980,0,0,0,0,0
LOC_Os01g25990,1508,1031,694,1189,1374
LOC_Os01g26000,66,0,0,0,0
LOC_Os01g26010,0,0,0,0,0
LOC_Os01g26020,1,0,0,1,1
LOC_Os01g26039,741,315,206,365,855
LOC_Os01g26060,0,0,0,0,0
LOC_Os01g26070,25,60,55,0,142
LOC_Os01g26080,0,0,0,0,0
LOC_Os01g26090,0,0,0,0,0
LOC_Os01g26100,0,0,0,0,0
LOC_Os01g26110,0,0,0,0,0
LOC_Os01g26120,1,5,5,8,4
LOC_Os01g26130,57,21,7,0,1
LOC_Os01g26150,0,0,0,0,0
LOC_Os01g26160,0,48,22,1,127
LOC_Os01g26174,0,0,0,0,0
LOC_Os01g26190,0,0,0,0,0
LOC_Os01g26210,0,0,0,0,0
LOC_Os01g26224,0,0,0,0,0
LOC_Os01g26240,0,0,0,0,0
LOC_Os01g26250,0,0,0,0,0
LOC_Os01g26270,0,0,0,4,0
LOC_Os01g26280,0,0,0,0,0
LOC_Os01g26290,0,0,0,0,0
LOC_Os01g26300,0,0,0,0,0
LOC_Os01g26310,0,0,0,0,0
LOC_Os01g26320,0,0,0,0,0
LOC_Os01g26330,0,0,0,0,0
LOC_Os01g26340,0,0,0,0,0
LOC_Os01g26350,0,0,0,0,0
LOC_Os01g26370,105,0,112,2,76
LOC_Os01g26390,0,0,0,0,0
LOC_Os01g26400,0,0,0,0,0
LOC_Os01g26410,0,0,0,0,0
LOC_Os01g26920,105,107,65,1,157
LOC_Os01g26930,0,0,0,0,0
LOC_Os01g26940,115,142,177,204,353
LOC_Os01g26950,0,0,0,0,0
LOC_Os01g26960,0,0,0,0,0
LOC_Os01g26970,117,72,0,43,151
LOC_Os01g26980,0,0,0,0,0
LOC_Os01g26990,0,0,0,0,0
LOC_Os01g27000,0,0,0,0,0
LOC_Os01g27010,0,0,0,0,0
LOC_Os01g27020,137,66,162,116,160
LOC_Os01g27030,0,0,0,0,0
LOC_Os01g27040,150,182,194,323,165
LOC_Os01g27050,0,0,0,0,0
LOC_Os01g27060,0,0,0,0,0
LOC_Os01g27070,0,0,0,0,0
LOC_Os01g27080,0,0,0,0,0
LOC_Os01g27090,0,0,0,0,0
LOC_Os01g27100,0,0,0,0,0
LOC_Os01g27110,0,0,0,0,0
LOC_Os01g27120,0,0,0,0,0
LOC_Os01g27130,0,0,0,0,0
LOC_Os01g27140,6,0,1,36,23
LOC_Os01g27150,869,348,274,452,869
LOC_Os01g27160,0,0,0,0,0
LOC_Os01g27170,0,0,0,0,0
LOC_Os01g27180,0,0,0,0,0
LOC_Os01g27190,0,0,0,0,0
LOC_Os01g27200,0,0,0,0,0
LOC_Os01g27210,155,166,35,65,86
LOC_Os01g27230,39,0,0,0,85
LOC_Os01g27240,0,0,0,0,0
LOC_Os01g27250,0,0,0,0,0
LOC_Os01g27260,0,0,0,0,0
LOC_Os01g27270,0,0,0,0,0
LOC_Os01g27280,0,0,0,0,0
LOC_Os01g27300,0,0,0,0,0
LOC_Os01g27320,0,0,0,0,0
LOC_Os01g27330,0,0,0,0,0
LOC_Os01g27340,0,0,0,0,0
LOC_Os01g27350,0,0,0,0,0
LOC_Os01g27360,11,3,37,46,6
LOC_Os01g27370,0,0,0,0,0
LOC_Os01g27380,0,0,0,0,0
LOC_Os01g27390,0,0,0,0,0
LOC_Os01g27400,0,0,0,0,0
LOC_Os01g27410,0,0,0,0,0
LOC_Os01g27420,0,0,0,0,0
LOC_Os01g27430,0,0,0,0,0
LOC_Os01g27440,0,0,0,0,0
LOC_Os01g27449,39,0,0,0,113
LOC_Os01g27470,0,0,0,0,0
LOC_Os01g27480,0,0,0,0,0
LOC_Os01g27490,0,0,0,0,0
LOC_Os01g27500,0,0,0,0,0
LOC_Os01g27510,0,0,0,0,0
LOC_Os01g27520,422,377,374,505,544
LOC_Os01g27530,0,0,0,0,0
LOC_Os01g27550,0,0,0,0,0
LOC_Os01g27560,0,0,0,0,0
LOC_Os01g27570,0,0,0,0,0
LOC_Os01g27580,0,0,0,0,0
LOC_Os01g27590,0,92,25,0,38
LOC_Os01g27600,0,0,0,0,0
LOC_Os01g27620,0,0,0,0,0
LOC_Os01g27630,0,0,0,0,0
LOC_Os01g27640,0,0,0,0,0
LOC_Os01g27650,0,0,0,0,0
LOC_Os01g27660,0,0,0,0,0
LOC_Os01g27670,0,0,0,0,0
LOC_Os01g27680,0,0,0,0,0
LOC_Os01g27690,0,0,0,0,0
LOC_Os01g27700,0,0,0,0,0
LOC_Os01g27710,0,0,0,0,0
LOC_Os01g27720,53,34,173,29,210
LOC_Os01g27730,2,0,12,2,2
LOC_Os01g27740,8,132,80,147,145
LOC_Os01g27750,0,60,0,0,0
LOC_Os01g27760,0,0,0,0,0
LOC_Os01g27770,0,0,0,0,0
LOC_Os01g27790,0,0,0,0,0
LOC_Os01g27800,0,0,0,0,0
LOC_Os01g27820,0,0,0,0,0
LOC_Os01g27834,0,0,0,0,0
LOC_Os01g27850,0,0,0,0,0
LOC_Os01g27860,0,0,0,0,0
LOC_Os01g27880,33,124,215,117,232
LOC_Os01g27890,0,0,0,0,0
LOC_Os01g27900,0,0,0,0,0
LOC_Os01g27910,0,0,0,0,0
LOC_Os01g27920,0,0,0,0,0
LOC_Os01g27930,0,0,0,0,0
LOC_Os01g27940,231,315,147,203,204
LOC_Os01g27950,0,0,0,0,0
LOC_Os01g27960,0,0,0,0,0
LOC_Os01g27970,0,0,0,0,0
LOC_Os01g27980,0,0,0,0,0
LOC_Os01g27990,92,84,9,239,247
LOC_Os01g28000,0,0,0,0,0
LOC_Os01g28010,0,0,0,0,0
LOC_Os01g28020,0,0,0,0,0
LOC_Os01g28030,0,0,0,0,0
LOC_Os01g28040,0,0,0,0,0
LOC_Os01g28050,0,0,0,0,0
LOC_Os01g28060,0,0,0,0,0
LOC_Os01g28070,0,0,0,0,0
LOC_Os01g28080,0,0,0,0,0
LOC_Os01g28089,0,0,0,0,0
LOC_Os01g28100,0,0,0,0,0
LOC_Os01g28120,0,0,0,0,0
LOC_Os01g28130,0,0,0,2.347,0
LOC_Os01g28134,0,20.5,0,0,0
LOC_Os01g28140,0,0,0,0,0
LOC_Os01g28150,0,20,0,13,37
LOC_Os01g28160,0,0,0,0,0
LOC_Os01g28170,0,0,0,0,0
LOC_Os01g28184,0,0,0,0,0
LOC_Os01g28200,0,0,0,0,0
LOC_Os01g28220,0,0,0,0,0
LOC_Os01g28230,0,0,0,0,0
LOC_Os01g28244,0,0,0,0,0
LOC_Os01g28260,0,0,0,0,0
LOC_Os01g28270,0,0,0,0,0
LOC_Os01g28280,0,0,0,0,0
LOC_Os01g28290,0,0,0,0,0
LOC_Os01g28300,0,0,0,0,0
LOC_Os01g28310,0,0,0,0,0
LOC_Os01g28320,0,0,0,0,0
LOC_Os01g28330,0,0,0,0,0
LOC_Os01g28340,0,0,0,0,0
LOC_Os01g28350,0,0,0,0,0
LOC_Os01g28360,0,0,0,0,0
LOC_Os01g28370,0,0,0,0,0
LOC_Os01g28380,0,0,0,0,0
LOC_Os01g28390,0,0,0,0,0
LOC_Os01g28400,0,0,0,0,0
LOC_Os01g28410,0,0,0,0,0
LOC_Os01g28420,0,0,0,0,0
LOC_Os01g28440,0,0,0,0,0
LOC_Os01g28450,0,0,0,0,0
LOC_Os01g28474,0,0,0,0,0
LOC_Os01g28490,0,0,0,0,0
LOC_Os01g28500,0,0,0,0,0
LOC_Os01g28510,0,0,0,0,0
LOC_Os01g28520,0,0,0,0,0
LOC_Os01g28530,0,0,0,0,0
LOC_Os01g28540,132,123,121,340,376
LOC_Os01g28550,0,0,0,0,0
LOC_Os01g28560,0,0,0,0,0
LOC_Os01g28570,0,0,0,0,0
LOC_Os01g28580,82,53,0,75,68
LOC_Os01g28590,0,0,0,0,0
LOC_Os01g28600,0,0,0,0,0
LOC_Os01g28610,0,0,0,0,0
LOC_Os01g28630,0,0,0,0,0
LOC_Os01g28640,0,0,0,0,0
LOC_Os01g28650,0,0,0,0,0
LOC_Os01g28660,0,0,0,0,0
LOC_Os01g28670,0,0,0,0,0
LOC_Os01g28680,1144.999,1015,603,970,1324
LOC_Os01g28690,0,0,0,0,0
LOC_Os01g28700,0,0,0,0,0
LOC_Os01g28710,0,0,0,0,0
LOC_Os01g28720,0,0,0,0,0
LOC_Os01g28730,0,0,0,0,0
LOC_Os01g28740,0,0,0,0,0
LOC_Os01g28744,0,0,0,0,0
LOC_Os01g28750,0,0,0,0,0
LOC_Os01g28760,0,0,0,0,0
LOC_Os01g28770,0,0,0,0,0
LOC_Os01g28780,0,0,0,0,0
LOC_Os01g28790,1,0,0,63,0
LOC_Os01g28800,0,0,0,0,0
LOC_Os01g28810,0,0,0,0,0
LOC_Os01g28820,0,0,0,0,0
LOC_Os01g28830,0,0,0,0,0
LOC_Os01g28840,0,0,0,0,0
LOC_Os01g28850,0,0,0,0,0
LOC_Os01g28870,0,0,0,0,0
LOC_Os01g28882,0,0,0,0,0
LOC_Os01g28894,0,0,0,0,0
LOC_Os01g28910,0,0,0,0,0
LOC_Os01g28920,0,0,0,0,0
LOC_Os01g28930,0,0,0,0,0
LOC_Os01g28940,0,0,0,0,0
LOC_Os01g28950,0,0,0,0,0
LOC_Os01g28960,0,0,0,0,0
LOC_Os01g28970,0,0,0,0,0
LOC_Os01g28980,0,0,0,0,0
LOC_Os01g28989,1682,1809,1865,1680,3515
LOC_Os01g29000,0,0,0,0,0
LOC_Os01g29020,0,0,0,0,0
LOC_Os01g29030,0,0,0,0,0
LOC_Os01g29040,0,0,0,0,0
LOC_Os01g29050,0,0,0,0,0
LOC_Os01g29060,0,0,0,0,0
LOC_Os01g29070,0,0,0,0,0
LOC_Os01g29080,0,0,0,0,0
LOC_Os01g29090,0,0,0,0,0
LOC_Os01g29100,0,0,0,0,0
LOC_Os01g29104,92.007,66,102.001,118.115,2.004
LOC_Os01g29110,0,0,0,0,0
LOC_Os01g29120,0,0,0,0,0
LOC_Os01g29130,0,0,0,0,0
LOC_Os01g29140,0,0,0,0,0
LOC_Os01g29150,0,0,1,0,0
LOC_Os01g29160,0,0,0,0,0
LOC_Os01g29170,0,0,0,0,0
LOC_Os01g29180,1,0,0,0,0
LOC_Os01g29190,0,0,0,0,0
LOC_Os01g29200,0,0,0,0,0
LOC_Os01g29210,0,0,0,0,0
LOC_Os01g29220,0,0,0,0,0
LOC_Os01g29230,18,71,26,0,31
LOC_Os01g29240,0,0,0,0,0
LOC_Os01g29250,0,0,0,0,0
LOC_Os01g29260,0,0,0,0,0
LOC_Os01g29270,0,0,0,0,0
LOC_Os01g29280,0,0,0,0,0
LOC_Os01g29290,0,0,0,0,0
LOC_Os01g29300,0,0,0,0,0
LOC_Os01g29310,0,0,0,0,0
LOC_Os01g29320,0,0,0,0,0
LOC_Os01g29330,0,13,1,0,0
LOC_Os01g29340,0,0,0,0,0
LOC_Os01g29350,0,0,0,0,0
LOC_Os01g29370,0,0,0,0,0
LOC_Os01g29380,0,0,0,0,0
LOC_Os01g29390,81,182,40,139,162
LOC_Os01g29409,392,351,145,174,663
LOC_Os01g29430,0,0,1,0,96
LOC_Os01g29450,0,0,0,0,0
LOC_Os01g29469,378,235,117,217,369
LOC_Os01g29488,0,0,0,0,0
LOC_Os01g29507,0,0,0,0,0
LOC_Os01g29530,0,0,0,0,0
LOC_Os01g29540,0,0,0,0,0
LOC_Os01g29550,0,0,0,0,0
LOC_Os01g29560,0,0,0,0,0
LOC_Os01g29570,0,0,0,0,0
LOC_Os01g29580,0,0,0,0,0
LOC_Os01g29590,0,0,0,0,0
LOC_Os01g29600,0,0,0,0,0
LOC_Os01g29610,0,0,0,0,2
LOC_Os01g29620,0,0,0,0,0
LOC_Os01g29640,0,0,0,0,0
LOC_Os01g29650,0,0,0,0,0
LOC_Os01g29660,0,0,0,0,0
LOC_Os01g29670,0,0,0,0,0
LOC_Os01g29680,0,0,0,0,0
LOC_Os01g29690,0,0,0,0,0
LOC_Os01g29700,0,0,0,0,0
LOC_Os01g29710,0,0,0,0,0
LOC_Os01g29720,0,0,0,0,0
LOC_Os01g29730,0,0,0,0,0
LOC_Os01g29740,100,64,25,13,197
LOC_Os01g29750,0,0,0,0,0
LOC_Os01g29760,0,0,0,0,0
LOC_Os01g29780,0,0,0,0,0
LOC_Os01g29790,0,0,0,0,0
LOC_Os01g29804,0,0,0,0,0
LOC_Os01g29820,0,30,4.01,0,34
LOC_Os01g29830,404,80,30,110,140
LOC_Os01g29840,0,0,0,0,0
LOC_Os01g29850,0,0,0,0,0
LOC_Os01g29860,0,0,0,0,0
LOC_Os01g29870,0,0,0,0,0
LOC_Os01g29880,0,0,0,0,0
LOC_Os01g29890,0,0,0,0,0
LOC_Os01g29900,0,0,0,0,0
LOC_Os01g29910,0,0,0,0,0
LOC_Os01g30936,0,0,0,0,0
LOC_Os01g30940,0,0,0,0,0
LOC_Os01g30950,0,0,0,0,0
LOC_Os01g30956,0,20,0,1,0.091
LOC_Os01g30970,0,0,0,0,0
LOC_Os01g30980,0,0,0,0,0
LOC_Os01g30990,0,0,0,0,0
LOC_Os01g31000,0,0,0,0,0
LOC_Os01g31010,0,0,0,0,0
LOC_Os01g31020,0,0,0,0,0
LOC_Os01g31030,0,0,0,0,0
LOC_Os01g31040,0,0,0,3,0
LOC_Os01g31050,0,0,0,0,0
LOC_Os01g31070,0,0,0,0,0
LOC_Os01g31080,0,0,0,0,0
LOC_Os01g31090,0,0,0,0,0
LOC_Os01g31100,0,0,0,0,0
LOC_Os01g31110,620,233,147,103,745
LOC_Os01g31120,0,0,0,0,0
LOC_Os01g31124,0,0,0,0,0
LOC_Os01g31130,0,0,0,0,0
LOC_Os01g31140,0,0,0,0,0
LOC_Os01g31150,0,0,0,0,0
LOC_Os01g31160,0,0,0,0,0
LOC_Os01g31170,0,0,0,0,0
LOC_Os01g31180,0,0,0,0,0
LOC_Os01g31190,0,0,0,0,0
LOC_Os01g31200,0,0,0,0,0
LOC_Os01g31210,0,0,0,0,0
LOC_Os01g31220,0,3,52,53,0
LOC_Os01g31230,0,0,0,0,0
LOC_Os01g31240,0,0,0,0,0
LOC_Os01g31250,0,0,0,0,0
LOC_Os01g31260,0,0,0,0,0
LOC_Os01g31270,0,0,0,0,0
LOC_Os01g31280,0,0,0,0,0
LOC_Os01g31290,0,0,0,0,0
LOC_Os01g31300,0,0,0,0,0
LOC_Os01g31310,0,0,0,0,0
LOC_Os01g31320,0,0,0,0,0
LOC_Os01g31330,0,0,0,0,0
LOC_Os01g31340,0,0,0,0,0
LOC_Os01g31350,0,0,0,0,0
LOC_Os01g31360,4170,2594,1402,2278,4479
LOC_Os01g31370,0,0,0,0,0
LOC_Os01g31380,0,0,0,0,0
LOC_Os01g31390,0,0,0,0,0
LOC_Os01g31400,0,0,0,0,0
LOC_Os01g31410,0,0,0,0,0
LOC_Os01g31420,0,0,0,0,0
LOC_Os01g31430,0,0,0,0,0
LOC_Os01g31440,0,0,0,0,0
LOC_Os01g31450,0,6.214,0,0,0
LOC_Os01g31460,0,0,0,0,0
LOC_Os01g31470,60,88,87,77,40
LOC_Os01g31480,0,0,0,0,0
LOC_Os01g31494,0,0,0,0,0
LOC_Os01g31510,0,0,0,0,0
LOC_Os01g31520,0,0,0,0,0
LOC_Os01g31540,0,0,0,0,0
LOC_Os01g31550,0,0,0,0,0
LOC_Os01g31560,0,0,0,0,0
LOC_Os01g31570,0,0,0,0,0
LOC_Os01g31580,116,72,110,91,240
LOC_Os01g31590,0,0,0,0,0
LOC_Os01g31610,10,26,0,63,244
LOC_Os01g31629,77,151,4,147,276
LOC_Os01g31650,0,0,0,0,0
LOC_Os01g31660,0,0,0,0,0
LOC_Os01g31670,0,0,0,0,0
LOC_Os01g31680,2565,1967,1530,2277,3517
LOC_Os01g31690,115758,85442,63181,82056,127069
LOC_Os01g31700,0,0,0,0,0
LOC_Os01g31714,0,0,0,0,0
LOC_Os01g31730,0,0,0,0,0
LOC_Os01g31740,0,0,0,0,0
LOC_Os01g31750,0,0,0,0,0
LOC_Os01g31760,0,0,0,0,0
LOC_Os01g31770,85,208,189,83,129
LOC_Os01g31780,0,0,0,0,0
LOC_Os01g31790,0,0,0,0,0
LOC_Os01g31800,0,0,14,0,0
LOC_Os01g31810,229.707,421.527,173,315,1095
LOC_Os01g31820,0,0,0,0,0
LOC_Os01g31830,0,0,0,0,0
LOC_Os01g31840,0,0,0,0,0
LOC_Os01g31850,0,0,0,0,0
LOC_Os01g31860,0,0,0,0,0
LOC_Os01g31870,0,0,0,1,0
LOC_Os01g31880,0,0,0,0,0
LOC_Os01g31890,0,0,0,0,0
LOC_Os01g31900,0,0,0,0,0
LOC_Os01g31910,0,0,0,0,0
LOC_Os01g31920,0,0,0,0,0
LOC_Os01g31930,0,0,0,0,0
LOC_Os01g31940,1635,1082,1025,1237,2210
LOC_Os01g31950,0,0,0,0,0
LOC_Os01g31960,0,0,0,0,0
LOC_Os01g31970,0,0,0,0,0
LOC_Os01g31980,29,0,138,55,37
LOC_Os01g31990,0,0,0,0,0
LOC_Os01g32000,0,0,0,0,0
LOC_Os01g32010,0,0,0,0,0.091
LOC_Os01g32020,0,0,0,0,0
LOC_Os01g32030,0,0,0,0,0
LOC_Os01g32044,0,0,0,0,0
LOC_Os01g32060,0,0,0,0,0
LOC_Os01g32070,0,0,0,0,0
LOC_Os01g32080,802,290,114,388,569
LOC_Os01g32090,0,0,1,0,0
LOC_Os01g32100,0,0,0,0,0
LOC_Os01g32110,0,0,0,0,0
LOC_Os01g32120,0,0,0,0,0
LOC_Os01g32130,0,0,0,24,0
LOC_Os01g32140,0,0,0,0,0
LOC_Os01g32150,0,0,0,0,0
LOC_Os01g32160,0,0,0,0,0
LOC_Os01g32170,0,0,0,25,0
LOC_Os01g32184,0,0,23,17,71
LOC_Os01g32200,0,0,0,0,0
LOC_Os01g32210,0,0,0,0,0
LOC_Os01g32220,0,0,0,0,0
LOC_Os01g32230,0,0,0,0,0
LOC_Os01g32250,0,0,0,0,0
LOC_Os01g32259,0,0,0,0,0
LOC_Os01g32270,0,0,0,0,0
LOC_Os01g32280,324,145,132,32,139
LOC_Os01g32300,69,131,111,85,297
LOC_Os01g32310,0,0,0,0,0
LOC_Os01g32320,0,0,0,0,0
LOC_Os01g32330,4,72,164,56,48
LOC_Os01g32350,0,134,33,0,0
LOC_Os01g32364,79,34,61,191,140
LOC_Os01g32380,0,0,0,0,0
LOC_Os01g32400,0,0,0,0,0
LOC_Os01g32410,0,0,0,0,0
LOC_Os01g32420,0,0,0,0,0
LOC_Os01g32430,0,0,0,0,0
LOC_Os01g32439,7,0,1,12,0
LOC_Os01g32450,0,0,0,0,0
LOC_Os01g32460,0,28,1,0,58
LOC_Os01g32470,0,0,0,0,0
LOC_Os01g32480,0,0,0,0,0
LOC_Os01g32490,0,0,0,0,0
LOC_Os01g32500,0,0,0,0,0
LOC_Os01g32510,0,0,0,0,0
LOC_Os01g32520,0,0,0,0,0
LOC_Os01g32530,0,0,0,0,0
LOC_Os01g32540,0,0,0,0,0
LOC_Os01g32550,0,0,0,0,0
LOC_Os01g32560,0,0,0,0,0
LOC_Os01g32574,0,0,0,0,0
LOC_Os01g32590,0,0,0,0,0
LOC_Os01g32600,0,0,0,0,0
LOC_Os01g32610,49,0,0,0,0
LOC_Os01g32630,0,0,0,0,0
LOC_Os01g32640,0,0,0,0,0
LOC_Os01g32650,0,0,0,0,0
LOC_Os01g32660,507,599,388,732,1079
LOC_Os01g32670,0,0,0,0,0
LOC_Os01g32680,0,0,0,0,0
LOC_Os01g32700,0,0,0,0,0
LOC_Os01g32710,0,0,0,0,0
LOC_Os01g32720,26,55,25,0,139
LOC_Os01g32730,50,22,28,140,253
LOC_Os01g32740,0,0,0,0,0
LOC_Os01g32750,221,361,140,333,485
LOC_Os01g32760,0,0,0,0,0
LOC_Os01g32770,0,54,1,0,168
LOC_Os01g32780,0,24,15,117,199
LOC_Os01g32790,1,31,14,58,0
LOC_Os01g32800,44,278,126,163,422
LOC_Os01g32810,0,0,0,0,0
LOC_Os01g32830,598,448,482,360,416
LOC_Os01g32840,10,14,25,0,120
LOC_Os01g32849,0,0,0,0,0
LOC_Os01g32860,0,0,0,0,0
LOC_Os01g32864,0,0,0,0,0
LOC_Os01g32870,507,228,79,294,58
LOC_Os01g32880,98,41,36,0,3
LOC_Os01g32890,0,0,0,0,0
LOC_Os01g32900,0,0,0,0,0
LOC_Os01g32910,0,0,0,0,0
LOC_Os01g32920,0,0,0,0,0
LOC_Os01g32930,0,0,0,0,0
LOC_Os01g32940,0,0,0,0,0
LOC_Os01g32950,0,0,0,0,0
LOC_Os01g32964,154,65,139,73,67
LOC_Os01g32980,73,219,81,71,311
LOC_Os01g32990,0,0,0,0,0
LOC_Os01g33000,1012,1258,765,1114,1976
LOC_Os01g33020,93,21,79,1,431
LOC_Os01g33030,290,46,0,155,4
LOC_Os01g33040,0,0,0,0,21.944
LOC_Os01g33050,186,41,119,77,62
LOC_Os01g33060,0,188,110,1,116
LOC_Os01g33070,0,0,0,0,0
LOC_Os01g33080,0,0,0,0,0
LOC_Os01g33090,0,0,0,0,0
LOC_Os01g33100,0,0,0,0,0
LOC_Os01g33110,0,0,0,0,0
LOC_Os01g33120,0,0,0,0,0
LOC_Os01g33130,0,0,0,0,0
LOC_Os01g33136,0,18,4,0,0
LOC_Os01g33142,0,0,0,0,0
LOC_Os01g33150,0,0,0,0,0
LOC_Os01g33160,0,0,0,0,0
LOC_Os01g33180,0,0,0,0,0
LOC_Os01g33190,0,0,0,0,0
LOC_Os01g33204,101,0,9,88,299.311
LOC_Os01g33220,0,0,0,0,0
LOC_Os01g33230,0,0,0,0,1
LOC_Os01g33240,0,0,0,0,0
LOC_Os01g33250,0,0,0,0,0
LOC_Os01g33260,0,0,0,0,0
LOC_Os01g33270,0,0,0,0,0
LOC_Os01g33290,0,0,0,0,0
LOC_Os01g33300,0,0,0,0,0
LOC_Os01g33324,0,0,0,0,0
LOC_Os01g33350,0,0,0,0,0
LOC_Os01g33360,0,0,0,0,0
LOC_Os01g33370,0,0,0,0,0
LOC_Os01g33380,0,0,0,0,0
LOC_Os01g33390,0,0,0,0,0
LOC_Os01g33400,0,0,0,0,0
LOC_Os01g33410,0,0,0,0,0
LOC_Os01g33420,98,38,69,29,34
LOC_Os01g33440,0,0,0,0,0
LOC_Os01g33450,44,0,0,9,8
LOC_Os01g33460,0,0,0,0,0
LOC_Os01g33470,0,0,0,0,0
LOC_Os01g33480,0,0,0,0,0
LOC_Os01g33490,66,25,2,26,45
LOC_Os01g33500,0,0,0,0,0
LOC_Os01g33510,0,0,0,0,0
LOC_Os01g33514,120,319,109,5,211
LOC_Os01g33520,0,0,0,0,0
LOC_Os01g33530,0,0,0,0,0
LOC_Os01g33540,0,53,0,22,67
LOC_Os01g33550,0,0,0,0,0
LOC_Os01g33560,0,0,0,0,0
LOC_Os01g33580,0,0,0,0,0
LOC_Os01g33590,0,0,0,0,0
LOC_Os01g33609,0,0,0,0,0
LOC_Os01g33615,187,36,148,81,281
LOC_Os01g33630,0,0,0,0,0
LOC_Os01g33640,0,0,0,0,0
LOC_Os01g33650,0,0,0,0,0
LOC_Os01g33670,0,0,0,0,0
LOC_Os01g33684,64,32,119,0,237
LOC_Os01g33700,0,0,0,0,0
LOC_Os01g33710,0,0,0,0,0
LOC_Os01g33720,0,0,0,0,0
LOC_Os01g33740,0,0,0,0,0
LOC_Os01g33750,0,0,0,0,0
LOC_Os01g33760,0,0,0,0,0
LOC_Os01g33762,0,0,0,0,0
LOC_Os01g33764,0,0,0,0,0
LOC_Os01g33770,0,0,0,0,0
LOC_Os01g33784,70,128,0,0,30
LOC_Os01g33800,470,216,261,189,400
LOC_Os01g33810,0,0,0,0,0
LOC_Os01g33820,0,0,0,0,0
LOC_Os01g33830,0,0,0,0,0
LOC_Os01g33840,0,0,0,0,0
LOC_Os01g33869,0,0,0,0,0
LOC_Os01g33900,0,0,0,0,0
LOC_Os01g33910,0,0,0,0,0
LOC_Os01g33920,0,0,0,0,0
LOC_Os01g33930,0,0,0,17.815,0
LOC_Os01g33940,0,0,0,0,0
LOC_Os01g33950,0,0,0,0,0
LOC_Os01g33960,2,0,0,0,0
LOC_Os01g33970,0,0,0,0,0
LOC_Os01g33980,0,0,0,0,0
LOC_Os01g33990,0,0,0,0,0
LOC_Os01g34000,0,0,0,0,0
LOC_Os01g34010,0,0,0,0,0
LOC_Os01g34020,0,0,0,0,0
LOC_Os01g34030,0,0,0,0,0
LOC_Os01g34040,0,0,0,0,0
LOC_Os01g34050,0,32,0,0,0
LOC_Os01g34060,322,376,121,397,645
LOC_Os01g34080,201,214,80,189,130
LOC_Os01g34090,0,0,0,0,0
LOC_Os01g34100,0,0,3,2,0
LOC_Os01g34110,0,0,0,0,0
LOC_Os01g34120,0,0,0,0,0
LOC_Os01g34130,0,0,0,0,0
LOC_Os01g34140,0,0,0,0,0
LOC_Os01g34180,0,0,0,0,0
LOC_Os01g34190,252,57,99,90,84
LOC_Os01g34200,0,45,63,8,75
LOC_Os01g34220,0,0,0,0,0
LOC_Os01g34230,0,0,0,0,0
LOC_Os01g34240,0,0,0,0,0
LOC_Os01g34250,0,0,0,0,0
LOC_Os01g34260,0,0,0,0,0
LOC_Os01g34270,0,0,0,0,0
LOC_Os01g34290,0,0,0,0,0
LOC_Os01g34300,0,0,0,0,0
LOC_Os01g34310,0,0,0,0,0
LOC_Os01g34320,0,0,0,0,0
LOC_Os01g34330,160,58,49,85,313
LOC_Os01g34350,1,0,1,0,69
LOC_Os01g34360,0,0,0,0,0
LOC_Os01g34374,0,0,0,0,0
LOC_Os01g34390,0,62,14,1,190
LOC_Os01g34400,0,0,0,0,0
LOC_Os01g34410,0,0,0,0,0
LOC_Os01g34420,0,0,31,0,0
LOC_Os01g34430,13,60,14,30,0
LOC_Os01g34440,0,0,0,0,0
LOC_Os01g34450,0,0,0,0,0
LOC_Os01g34460,0,0,0,0,0
LOC_Os01g34470,0,0,0,0,0
LOC_Os01g34480,84,279,101,131,271
LOC_Os01g34490,0,0,0,0,0
LOC_Os01g34500,0,0,0,0,0
LOC_Os01g34510,0,0,0,0,0
LOC_Os01g34520,0,0,0,0,0
LOC_Os01g34530,0,0,0,0,0
LOC_Os01g34540,0,0,0,0,0
LOC_Os01g34550,0,0,0,0,0
LOC_Os01g34560,0,0,0,0,0
LOC_Os01g34570,0,0,0,0,0
LOC_Os01g34580,0,0,0,0,0
LOC_Os01g34590,0,0,32,0,0
LOC_Os01g34600,0,0,0,0,0
LOC_Os01g34610,0,0,0,0,0
LOC_Os01g34614,64,190,70,33,143
LOC_Os01g34620,0,33,0,31,1
LOC_Os01g34630,0,0,0,12,0
LOC_Os01g34660,107.913,0,0,49.979,0
LOC_Os01g34670,165,3,12,0,178
LOC_Os01g34680,0,0,0,0,0
LOC_Os01g34690,0,0,0,0,0
LOC_Os01g34700,457,377,394,399,549
LOC_Os01g34710,0,0,0,0,0
LOC_Os01g34720,0,0,0,0,0
LOC_Os01g34730,0,0,0,1,0
LOC_Os01g34740,0,0,0,0,0
