EX_so3(e),Sulfite exchange,hso3_e <-- ,"{'charge': 1.0, 'H': -1.0, 'S': -1.0, 'O': -3.0}",,,,
EX_h2s(e),Hydrogen sulfide exchange,h2s_e <-- ,"{'H': -2.0, 'S': -1.0}",,,,
EX_nh4(e),Ammonia exchange,nh4_e <-- ,"{'charge': -1.0, 'N': -1.0, 'H': -4.0}",,,,
EX_mg2(e),Magnesium exchange,mg2_e <-- ,"{'charge': -2.0, 'Mg': -1.0}",,,,
EX_photonVis(e),photon emission,photonVis_e <-- ,{'X': -1.0},,,,
PRISM_white_LED_M,"spectral decomposition of red LED (Mix of R, G & B)",photonVis_e <=> 0.002723395 photon430_u0 + 0.135928126 photon450_u0 + 0.189971935 photon470_u0 + 0.050389911 photon490_u0 + 0.147583919 photon510_u0 + 0.132047235 photon530_u0 + 0.03140161 photon550_u0 + 0.004592156577 photon570_u0 + 0.00058518 photon590_u0 + 0.0008778146299 photon610_u0 + 0.01410125 photon630_u0 + 0.140107154 photon650_u0 + 0.146392098 photon670_u0 + 0.003258373729 photon690_u0,{'X': -3.984206409998856e-05},,,,
RPSI_430(u)_M,Photosystem I 430 specific reaction,photon430_u0 --> 0.203291558 photonDrain_u0 + 0.796708442 photonPSI_u0,{'X': 2.7755575615628914e-17},,,,
RPSI_450(u)_M,Photosystem I 450 specific reaction,photon450_u0 --> 0.382419982 photonDrain_u0 + 0.617580018 photonPSI_u0,{'X': -5.551115123125783e-17},,,,
RPSI_470(u)_M,Photosystem I 470 specific reaction,photon470_u0 --> 0.475289709 photonDrain_u0 + 0.524710291 photonPSI_u0,{},,,,
RPSI_490(u)_M,Photosystem I 490 specific reaction,photon490_u0 --> 0.600682066 photonDrain_u0 + 0.399317934 photonPSI_u0,{'X': -1.1102230246251565e-16},,,,
RPSI_510(u)_M,Photosystem I 510 specific reaction,photon510_u0 --> 0.81562495 photonDrain_u0 + 0.18437505 photonPSI_u0,{},,,,
RPSI_530(u)_M,Photosystem I 530 specific reaction,photon530_u0 --> 0.907241852 photonDrain_u0 + 0.092758148 photonPSI_u0,{},,,,
RPSI_550(u)_M,Photosystem I 550 specific reaction,photon550_u0 --> 0.901888108 photonDrain_u0 + 0.098111892 photonPSI_u0,{},,,,
RPSI_570(u)_M,Photosystem I 570 specific reaction,photon570_u0 --> 0.847822 photonDrain_u0 + 0.152178 photonPSI_u0,{},,,,
RPSI_590(u)_M,Photosystem I 590 specific reaction,photon590_u0 --> 0.808703289 photonDrain_u0 + 0.191296711 photonPSI_u0,{},,,,
RPSI_610(u)_M,Photosystem I 610 specific reaction,photon610_u0 --> 0.741804064 photonDrain_u0 + 0.258195936 photonPSI_u0,{},,,,
RPSI_630(u)_M,Photosystem I 630 specific reaction,photon630_u0 --> 0.677927964 photonDrain_u0 + 0.322072036 photonPSI_u0,{},,,,
RPSI_650(u)_M,Photosystem I 630 specific reaction,photon650_u0 --> 0.447167461 photonDrain_u0 + 0.552832539 photonPSI_u0,{'X': -5.551115123125783e-17},,,,
RPSI_670(u)_M,Photosystem I 670 specific reaction,photon670_u0 --> 0.509104031 photonDrain_u0 + 0.490895969 photonPSI_u0,{},,,,
RPSI_690(u)_M,Photosystem I 690 specific reaction,photon690_u0 --> 0.931745944 photonDrain_u0 + 0.068254056 photonPSI_u0,{},,,,
RPSII_430(u)_M,Photosystem II 430 specific reaction,photon430_u0 --> 0.14731525 photonDrain_u0 + 0.852685475 photonPSII_u0,{'X': 7.250000000347256e-07},,,,
RPSII_450(u)_M,Photosystem II 450 specific reaction,photon450_u0 --> 0.208755937 photonDrain_u0 + 0.791244063 photonPSII_u0,{'X': 1.1102230246251565e-16},,,,
RPSII_470(u)_M,Photosystem II 470 specific reaction,photon470_u0 --> 0.314200972 photonDrain_u0 + 0.685799028 photonPSII_u0,{'X': 1.1102230246251565e-16},,,,
RPSII_490(u)_M,Photosystem II 490 specific reaction,photon490_u0 --> 0.387462591 photonDrain_u0 + 0.612537409 photonPSII_u0,{},,,,
RPSII_510(u)_M,Photosystem II 510 specific reaction,photon510_u0 --> 0.651367958 photonDrain_u0 + 0.348632042 photonPSII_u0,{},,,,
RPSII_530(u)_M,Photosystem II 530 specific reaction,photon530_u0 --> 0.832426636 photonDrain_u0 + 0.167573364 photonPSII_u0,{},,,,
RPSII_550(u)_M,Photosystem II 550 specific reaction,photon550_u0 --> 0.858673509 photonDrain_u0 + 0.141326491 photonPSII_u0,{'X': -5.551115123125783e-17},,,,
RPSII_570(u)_M,Photosystem II 570 specific reaction,photon570_u0 --> 0.842705566 photonDrain_u0 + 0.157294434 photonPSII_u0,{'X': 2.7755575615628914e-17},,,,
RPSII_590(u)_M,Photosystem II 590 specific reaction,photon590_u0 --> 0.783703644 photonDrain_u0 + 0.216296356 photonPSII_u0,{'X': 2.7755575615628914e-17},,,,
RPSII_610(u)_M,Photosystem II 610 specific reaction,photon610_u0 --> 0.748080254 photonDrain_u0 + 0.25191974 photonPSII_u0,{'X': -5.999999996841865e-09},,,,
RPSII_630(u)_M,Photosystem II 630 specific reaction,photon630_u0 --> 0.701196322 photonDrain_u0 + 0.298803678 photonPSII_u0,{'X': 5.551115123125783e-17},,,,
RPSII_650(u)_M,Photosystem II 630 specific reaction,photon650_u0 --> 0.609656588 photonDrain_u0 + 0.390343412 photonPSII_u0,{},,,,
RPSII_670(u)_M,Photosystem II 670 specific reaction,photon670_u0 --> 0.34308987 photonDrain_u0 + 0.65691013 photonPSII_u0,{},,,,
RPSII_690(u)_M,Photosystem II 690 specific reaction,photon690_u0 --> 0.632730633 photonDrain_u0 + 0.367269367 photonPSII_u0,{},,,,
CO2tex_M,CO2 transport (extracellular to cytosol),co2_e <=> co2_c0,{},,,,
H2Otex_M,H2O transport (extracellular to cytosol),h2o_e <-- h2o_c0,{},,,,
Htex_M,proton transport via diffusion (extracellular to cytosol),h_e <=> h_c0,{},,,,
O2tex_M,O2 transport in via diffusion (extracellular to cytosol),o2_e <=> o2_c0,{},,,,
Pitex_M,PI transport in via diffusion (extracellular to cytosol),pi_e <=> pi_c0,{},,,,
H2Stex_M,hydrogen sulfide transport via diffusion (extracellular to cytosol),h2s_e <=> h2s_c0,{},,,,
MG2tex_M,Mg2 transport via diffusion (extracellular to cytosol),mg2_e <=> mg2_c0,{},,,,
GLYtex_M,Glycine transport via diffusion (extracellular to cytosol),gly_e <=> gly_c0,{},,,,
PPASc_M,"Soluble inorganic pyrophosphatase, cytosol",h2o_c0 + ppi_c0 --> h_c0 + 2.0 pi_c0,{},,,,
PPASs_M,"Soluble inorganic pyrophosphatase, plastidic",h2o_s0 + ppi_s0 --> h_s0 + 2.0 pi_s0,"{'charge': 1.0, 'H': 1.0}",model.reactions.PPASs.add_metabolites({‘h_s’:-1}),,,
PPASx_M,"Soluble inorganic pyrophosphatase, peroxisomal",h2o_x0 + ppi_x0 --> h_x0 + 2.0 pi_x0,{},,,,
PPAIcxc_M,"Membrane -bound H+-inorganic pyrophosphatase, peroxisomal",h2o_c0 + ppi_c0 --> h_x0 + 2.0 pi_c0,{},,,,
PPAIcvc_M,"Membrane -bound H+-inorganic pyrophosphatase, vacuolar",h2o_c0 + ppi_c0 --> h_v0 + 2.0 pi_c0,{},,,,
APLs_M,"Acetolactate synthase, plastidic",2ahethmpp_s0 + pyr_s0 --> alac-S_s0 + thmpp_s0,{},,,,
CATv_M,"Catalase, vacuolar",2.0 h2o2_v0 --> 2.0 h2o_v0 + o2_v0,{},,,,
CATs_M,"Catalase, plastidic",2.0 h2o2_s0 --> 2.0 h2o_s0 + o2_s0,{},,,,
CATx_M,"Catalase, peroxisomal",2.0 h2o2_x0 --> 2.0 h2o_x0 + o2_x0,{},,,,
CATm_M,"Catalase, mitochondrial",2.0 h2o2_m0 --> 2.0 h2o_m0 + o2_m0,{},,,,
GLUSfs_M,"Glutamate synthase (ferredoxin), plastidic",akg_s0 + 2.0 fdxrd_s0 + gln-L_s0 --> 2.0 fdxox_s0 + 2.0 glu-L_s0 + 2.0 h_s0,{'charge': 2.0},,,,
RBPCs_M,Ribulose-bisphosphate carboxylase,co2_s0 + h2o_s0 + rb15bp_s0 --> 2.0 3pg_s0 + 2.0 h_s0,{},,,,
CYOO6m_M,Cytochrome c oxidase (complex IV),4.0 focytc_m0 + 8.0 h_m0 + o2_m0 --> 4.0 ficytc_m0 + 2.0 h2o_m0 + 4.0 h_c0,"{'H': 36.0, 'R': -16.0}",,,,
NO3Rm_M,"Nitrate reductase (Ubiquinol-8), mitochondrial",no3_c0 + q8h2_m0 --> h2o_m0 + 2.0 h_c0 + no2_c0 + q8_m0,"{'charge': 2.0, 'H': 2.0}",model.reactions.NO3Rm.add_metabolites({‘h_m’:-2}),,,
AOXm_M,Alternative oxidase,4.0 h_m0 + o2_m0 + q8h2_m0 --> 2.0 h2o_m0 + 2.0 h_c0 + q8_m0,{'charge': -2.0},,,,
ATPPHc_M,"ATP phosphohydrolase, cytosolic",atp_c0 + h2o_c0 --> adp_c0 + h_c0 + pi_c0,{},,,,
ATPPHm_M,"ATP phosphohydrolase, mitochondrial",atp_m0 + h2o_m0 --> adp_m0 + h_m0 + pi_m0,{},,,,
ATPPHs_M,"ATP phosphohydrolase, plastidic",atp_s0 + h2o_s0 --> adp_s0 + h_s0 + pi_s0,{},,,,
ATPSs_M,"ATP synthase (complex V), plastidic",adp_s0 + 4.0 h_u0 + pi_s0 --> atp_s0 + h2o_s0 + 3.0 h_s0,{},,,,
ATPSm_M,"ATP synthase (complex V), mitochondrial",adp_m0 + 3.0 h_c0 + pi_m0 --> atp_m0 + h2o_m0 + 2.0 h_m0,{},,,,
GLUSs_M,Glutamate synthase (NADH),akg_s0 + gln-L_s0 + h_s0 + nadh_s0 --> 2.0 glu-L_s0 + nad_s0,{},,,,
GLUSys_M,Glutamate synthase (NADPH),akg_s0 + gln-L_s0 + h_s0 + nadph_s0 --> 2.0 glu-L_s0 + nadp_s0,{},,,,
GTHRs_M,"Glutathione reductase (NADPH), plastidic",gthox_s0 + h_s0 + nadph_s0 --> 2.0 gthrd_s0 + nadp_s0,{},,,,
GTHRm_M,"Glutathione reductase (NADPH), mitochondrial",gthox_m0 + h_m0 + nadph_m0 --> 2.0 gthrd_m0 + nadp_m0,{},,,,
ADK1c_M,"Adenylate kinase, cytosolic",amp_c0 + atp_c0 --> 2.0 adp_c0,{},,,,
ADK1s_M,"Adenylate kinase, plastidic",amp_s0 + atp_s0 --> 2.0 adp_s0,{},,,,
ATPAPc_M,Apyrase,atp_c0 + 2.0 h2o_c0 --> amp_c0 + 2.0 h_c0 + 2.0 pi_c0,{},,,,
ADPAc_M,ADP-Apyrase,adp_c0 + h2o_c0 --> amp_c0 + h_c0 + pi_c0,{},,,,
GAL1PUTc_M,galactose-1-phosphate uridylyltransferase,gal1p_c0 + h_c0 + utp_c0 --> ppi_c0 + udpgal_c0,{},,,,
DPCOAKc_M,Dephospho-CoA kinase,atp_c0 + dpcoa_c0 --> adp_c0 + coa_c0 + h_c0,{},,,,
URIKGc_M,"uridine kinase (GTP), cytosolic",gtp_c0 + uri_c0 --> gdp_c0 + h_c0 + ump_c0,{},,,,
URIKGs_M,"uridine kinase (GTP), plastidic",gtp_s0 + uri_s0 --> gdp_s0 + h_s0 + ump_s0,{},,,,
DHDHc_M,Dihydropyrimidine dehydrogenase (NADP+),56dura_c0 + h_c0 + nadp_c0 <=> nadph_c0 + ura_c0,"{'charge': -2.0, 'H': -2.0}",model.reactions.DHDHc.add_metabolites({‘h_c’:-2},,,
BUPNc_M,beta-ureidopropionase,cala_c0 + h2o_c0 + h_c0 --> ala-B_c0 + co2_c0 + nh4_c0,{},,,,
DHPDc_M,Dihydropyrimidinase,56dura_c0 + h2o_c0 <=> cala_c0 + h_c0,"{'charge': 1.0, 'H': 1.0}",model.reactions.DHPDc.add_metabolites({‘h_c’:1},,,
TMDSc_M,Thymidylate synthase,dump_c0 + mlthf_c0 <=> dhf_c0 + dtmp_c0,{},,,,
CYTDc_M,Cytidine deaminase,cytd_c0 + h2o_c0 + h_c0 --> nh4_c0 + uri_c0,{},,,,
GTPCYTDPTc_M,"GTP:cytidine 5-phosphotransferase, cytosolic",cytd_c0 + gtp_c0 <=> cmp_c0 + gdp_c0,"{'charge': -1.0, 'H': -1.0}",model.reactions.GTPCYTDPTc.add_metabolites({‘h_c’:1},,,
GTPCYTDPTs_M,"GTP:cytidine 5-phosphotransferase, plastidic",cytd_s0 + gtp_s0 <=> cmp_s0 + gdp_s0,"{'charge': -1.0, 'H': -1.0}",model.reactions.GTPCYTDPTs.add_metabolites({‘h_s’:1},,,
DCTPDAc_M,deoxycytidine triphosphate deaminase,dctp_c0 + h2o_c0 --> dutp_c0 + nh4_c0,"{'charge': 1.0, 'H': 1.0}",model.reactions.DCTPDAc.add_metabolites({‘h_c’:-1},,,
UTPRc_M,ribonucleoside-triphosphate reductase (UTP),fadh2_c0 + utp_c0 --> dutp_c0 + fad_c0 + h2o_c0,{},,,,
ATPRc_M,ribonucleoside-triphosphate reductase (ATP),atp_c0 + fadh2_c0 --> datp_c0 + fad_c0 + h2o_c0,{},,,,
GTPRc_M,ribonucleoside-triphosphate reductase (GTP),fadh2_c0 + gtp_c0 --> dgtp_c0 + fad_c0 + h2o_c0,{},,,,
DCAHc_M,Deoxycytidine aminohydrolase,dcyt_c0 + h2o_c0 + h_c0 --> duri_c0 + nh4_c0,{},,,,
UPRTs_M,"Uracil phosphoribosyltransferase, plastidic",ppi_s0 + ump_s0 <=> prpp_s0 + ura_s0,"{'charge': 1.0, 'H': 1.0}",model.reactions.UPRTs.add_metabolites({‘h_s’:-1}),,,
UPRTc_M,"Uracil phosphoribosyltransferase, cytosolic",ppi_c0 + ump_c0 <=> prpp_c0 + ura_c0,{},,,,
UPHc_M,"Uridine phosphorylase, cytosolic",pi_c0 + uri_c0 <=> r1p_c0 + ura_c0,{},,,,
UPHs_M,"Uridine phosphorylase, plastidic",pi_s0 + uri_s0 <=> r1p_s0 + ura_s0,{},,,,
DURIKc_M,ATP:deoxyuridine 5-phosphotransferase,atp_c0 + duri_c0 --> adp_c0 + dump_c0 + h_c0,{},,,,
TMDKc_M,Thymidine kinase,atp_c0 + thymd_c0 --> adp_c0 + dtmp_c0 + h_c0,{},,,,
ATCYc_M,"ATP:cytidine 5-phosphotransferase, cytosolic",atp_c0 + cytd_c0 --> adp_c0 + cmp_c0 + h_c0,{},,,,
ATCYs_M,"ATP:cytidine 5-phosphotransferase, plastidic",atp_s0 + cytd_s0 --> adp_s0 + cmp_s0 + h_s0,{},,,,
AUPTc_M,"Uridine kinase, cytosolic",atp_c0 + uri_c0 --> adp_c0 + h_c0 + ump_c0,{},,,,
AUPTs_M,"Uridine kinase, plastidic",atp_s0 + uri_s0 --> adp_s0 + h_s0 + ump_s0,{},,,,
DUMPc_M,2-Deoxyuridine 5-monophosphate phosphohydrolase,dump_c0 + h2o_c0 --> duri_c0 + pi_c0,{},,,,
DCMPc_M,2-Deoxycytidine 5-monophosphate phosphohydrolase,dcmp_c0 + h2o_c0 --> dcyt_c0 + pi_c0,{},,,,
CMPc_M,Cytidine-5-monophosphate phosphohydrolase,cmp_c0 + h2o_c0 --> cytd_c0 + pi_c0,{},,,,
CMPs_M,Cytidine-5-monophosphate phosphohydrolase,cmp_s0 + h2o_s0 --> cytd_s0 + pi_s0,{},,,,
UMPc_M,"Uridine 5-monophosphate phosphohydrolase, cytosolic",h2o_c0 + ump_c0 --> pi_c0 + uri_c0,{},,,,
UMPs_M,"Uridine 5-monophosphate phosphohydrolase, plastidic",h2o_s0 + ump_s0 --> pi_s0 + uri_s0,{},,,,
CTPSc_M,CTP synthetase,atp_c0 + gln-L_c0 + h2o_c0 + utp_c0 --> adp_c0 + ctp_c0 + glu-L_c0 + 2.0 h_c0 + pi_c0,{},,,,
DUTNHc_M,dUTP pyrophosphatase,dutp_c0 + h2o_c0 --> dump_c0 + h_c0 + ppi_c0,{},,,,
DCDTc_M,2-Deoxycytidine diphosphate:oxidized-thioredoxin 2-oxidoreductase,cdp_c0 + trdrd_c0 --> dcdp_c0 + h2o_c0 + trdox_c0,{},,,,
DUDTc_M,2-Deoxyuridine 5-diphosphate:oxidized-thioredoxin 2-oxidoreductase,trdrd_c0 + udp_c0 --> dudp_c0 + h2o_c0 + trdox_c0,{},,,,
TDSRs_M,"Thioredoxin reductase (NADPH), plastidic",h_s0 + nadph_s0 + trdox_s0 <=> nadp_s0 + trdrd_s0,{},,,,
TDSRc_M,"Thioredoxin reductase (NADPH), cytosolic",h_c0 + nadph_c0 + trdox_c0 <=> nadp_c0 + trdrd_c0,{},,,,
ATDTDc_M,ATP:dTDP phosphotransferase,atp_c0 + dtdp_c0 --> adp_c0 + dttp_c0,{},,,,
DTMPKc_M,dTMP kinase,atp_c0 + dtmp_c0 --> adp_c0 + dtdp_c0,{},,,,
DUMPKc_M,dUMP kinase ,atp_c0 + dump_c0 <=> adp_c0 + dudp_c0,{},,,,
ATDCDc_M,ATP:dCDP phosphotransferase,atp_c0 + dcdp_c0 --> adp_c0 + dctp_c0,{},,,,
DCMPKc_M,dCMP kinase ,atp_c0 + dcmp_c0 <=> adp_c0 + dcdp_c0,{},,,,
ATCDc_M,"ATP:CDP phosphotransferase, cytosolic",atp_c0 + cdp_c0 --> adp_c0 + ctp_c0,{},,,,
ATCDs_M,"ATP:CDP phosphotransferase, plastidic",atp_s0 + cdp_s0 --> adp_s0 + ctp_s0,{},,,,
CMPKc_M,"CMP kinase, cytosolic",atp_c0 + cmp_c0 <=> adp_c0 + cdp_c0,{},,,,
CMPKs_M,"CMP kinase, plastidic",atp_s0 + cmp_s0 <=> adp_s0 + cdp_s0,{},,,,
ATUDc_M,"ATP:UDP phosphotransferase, cystosolic",atp_c0 + udp_c0 --> adp_c0 + utp_c0,{},,,,
ATUDs_M,"ATP:UDP phosphotransferase, plastidic",atp_s0 + udp_s0 --> adp_s0 + utp_s0,{},,,,
UMPKc_M,ATP:UMP phosphotransferase,atp_c0 + ump_c0 --> adp_c0 + udp_c0,{},,,,
MATc_M,Methionine adenosyltransferase,atp_c0 + h2o_c0 + met-L_c0 --> amet_c0 + pi_c0 + ppi_c0,{},,,,
AMPDc_M,AMP deaminase,amp_c0 + h2o_c0 + h_c0 --> imp_c0 + nh4_c0,{},,,,
AMPPc_M,Adenosine 5-monophosphate phosphohydrolase,amp_c0 + h2o_c0 --> adn_c0 + pi_c0,{},,,,
ADNKc_M,Adenosine kinase,adn_c0 + atp_c0 --> adp_c0 + amp_c0 + h_c0,{},,,,
APPRTc_M,"Adenine phosphoribosyltransferase, cytosolic",ade_c0 + prpp_c0 <=> amp_c0 + ppi_c0,{},,,,
APPRTs_M,"Adenine phosphoribosyltransferase, plastidic",ade_s0 + prpp_s0 <=> amp_s0 + ppi_s0,"{'charge': -1.0, 'H': -1.0}",model.reactions.APPRTs.add_metabolites({‘h_s’:1}),,,
ADSHc_M,Adenosylhomocysteinase,ahcys_c0 + h2o_c0 <=> adn_c0 + hcys-L_c0,{},,,,
PEPSs_M,PEP synthetase,atp_s0 + h2o_s0 + pyr_s0 --> amp_s0 + pep_s0 + pi_s0,"{'charge': -2.0, 'H': -2.0}",model.reactions.PEPSs.add_metabolites({‘h_s’:2}),,,
PYKc_M,"Pyruvate kinase, cytosolic",adp_c0 + h_c0 + pep_c0 --> atp_c0 + pyr_c0,{},,,,
PYKs_M,"Pyruvate kinase, plastidic",adp_s0 + h_s0 + pep_s0 --> atp_s0 + pyr_s0,{},,,,
PPDKs_M,"Pyruvate phosphate dikinase, plastidic",atp_s0 + pi_s0 + pyr_s0 --> amp_s0 + pep_s0 + ppi_s0,"{'charge': -2.0, 'H': -2.0}",model.reactions.PPDKs.add_metabolites({‘h_s’:2}),,,
PPDKc_M,"Pyruvate phosphate dikinase, cytosolic",atp_c0 + pi_c0 + pyr_c0 --> amp_c0 + pep_c0 + ppi_c0,"{'charge': -1.0, 'H': -1.0}",model.reactions.PPDKc.add_metabolites({‘h_c’:1}),,,
MDH2c_M,"Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+), cytosolic",mal-L_c0 + nadp_c0 --> co2_c0 + nadph_c0 + pyr_c0,{},,,,
MDH2s_M,"Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+), plastidic",mal-L_s0 + nadp_s0 --> co2_s0 + nadph_s0 + pyr_s0,{},,,,
PDCs_M,"pyruvate decarboxylase, plastidic",2ahethmpp_s0 --> acald_s0 + thmpp_s0,{},,,,
ACSc_M,"acetate--CoA ligase, cytosolic",ac_c0 + atp_c0 + coa_c0 --> accoa_c0 + amp_c0 + ppi_c0,{},,,,
ACSx_M,"acetate--CoA ligase, peroxisomal",ac_x0 + atp_x0 + coa_x0 --> accoa_x0 + amp_x0 + ppi_x0,{},,,,
ACSs_M,"acetate--CoA ligase, plastidic",ac_s0 + atp_s0 + coa_s0 --> accoa_s0 + amp_s0 + ppi_s0,"{'charge': -1.0, 'H': -1.0}",model.reactions.ACSs.add_metabolites({‘h_s’:1}),,,
GLU5Kc_M,"Glutamate 5-kinase, cytosolic",atp_c0 + glu-L_c0 --> adp_c0 + glu5p_c0,{},,,,
GLU5Ks_M,"Glutamate 5-kinase, plastidic",atp_s0 + glu-L_s0 --> adp_s0 + glu5p_s0,{},,,,
PYR5CDm_M,"1-pyrroline-5-carboxylate dehydrogenase (NAD), mitochondrial",glu5sa_m0 + h2o_m0 + nad_m0 --> glu-L_m0 + 2.0 h_m0 + nadh_m0,{},,,,
PYR5CDs_M,"1-pyrroline-5-carboxylate dehydrogenase (NAD), plastidic",glu5sa_s0 + h2o_s0 + nad_s0 --> glu-L_s0 + 2.0 h_s0 + nadh_s0,{},,,,
PYR5CDym_M,"1-pyrroline-5-carboxylate dehydrogenase (NADP), mitochondrial",glu5sa_m0 + h2o_m0 + nadp_m0 --> glu-L_m0 + 2.0 h_m0 + nadph_m0,{},,,,
PYR5CDys_M,"1-pyrroline-5-carboxylate dehydrogenase (NADP), plastidic",glu5sa_s0 + h2o_s0 + nadp_s0 --> glu-L_s0 + 2.0 h_s0 + nadph_s0,{},,,,
GALc_M,"Glutamate--ammonia ligase, cytosolic",atp_c0 + glu-L_c0 + nh4_c0 --> adp_c0 + gln-L_c0 + h_c0 + pi_c0,{},,,,
GALs_M,"Glutamate--ammonia ligase, plastidic",atp_s0 + glu-L_s0 + nh4_s0 --> adp_s0 + gln-L_s0 + h_s0 + pi_s0,{},,,,
AGATm_M,"Alanine--glyoxylate aminotransferase, mitochondrial",ala-L_m0 + glx_m0 <=> gly_m0 + pyr_m0,{},,,,
ALAATc_M,"Alanine aminotransferase, cytosolic",akg_c0 + ala-L_c0 <=> glu-L_c0 + pyr_c0,{},,,,
ALAATm_M,"Alanine aminotransferase, mitochondrial",akg_m0 + ala-L_m0 <=> glu-L_m0 + pyr_m0,{},,,,
AAATc_M,Amino-acid N-acetyltransferase,accoa_c0 + glu-L_c0 --> acglu_c0 + coa_c0 + h_c0,{},,,,
ARGDs_M,"Glutamate decarboxylase, plastidic",glu-L_s0 + h_s0 --> 4abut_s0 + co2_s0,{},,,,
ARGDc_M,"Glutamate decarboxylase, cytosolic",glu-L_c0 + h_c0 --> 4abut_c0 + co2_c0,{},,,,
ARGDm_M,"Glutamate decarboxylase, mitochondrial",glu-L_m0 + h_m0 --> 4abut_m0 + co2_m0,{},,,,
ASPCLc_M,L-aspartate 1-carboxy-lyase (beta-alanine-forming),asp-L_c0 + h_c0 <=> ala-B_c0 + co2_c0,{},,,,
ICDHm_M,"Isocitrate dehydrogenase (NADP+), mitochondrial",icit_m0 + nadp_m0 <=> akg_m0 + co2_m0 + nadph_m0,{},,,,
GTHPc_M,"glutathione peroxidase, cytosolic",2.0 gthrd_c0 + h2o2_c0 --> gthox_c0 + 2.0 h2o_c0,{},,,,
GTHPm_M,"glutathione peroxidase, mitochondrial",2.0 gthrd_m0 + h2o2_m0 --> gthox_m0 + 2.0 h2o_m0,{},,,,
UPGCDc_M,UDP-glucose 6-dehydrogenase,h2o_c0 + 2.0 nad_c0 + udpg_c0 --> 3.0 h_c0 + 2.0 nadh_c0 + udpglcur_c0,{},,,,
